method,baseline_family,source_repo,source_artifact,source_path,source_csv_artifacts,seed,scope,dataset,csv_selection_accuracy,csv_total_cost,split_aligned_with_routecode,routecode_metric_compatible,compatibility_note,total,ties,decisive_total,selected_correct_total,selected_correct_decisive,routing_correct,selection_accuracy,selection_accuracy_decisive,routing_accuracy,strong_selected,weak_selected,avg_winrate,winrate_std,total_cost,avg_cost,indomain_avg,ood_avg,indomain_sample_avg,ood_sample_avg,all_dataset_avg,sample_avg,indomain_total_cost,indomain_avg_cost,ood_total_cost,ood_avg_cost
RouteLLM-MF,official_external_artifact,LLMRouterBench/baselines/RouteLLM,mf_results_seed42.json,data/raw/external/LLMRouterBench/baselines/RouteLLM/results/mf_results_seed42.json,mf_selection_accuracy_by_seed.csv; mf_total_cost_by_seed.csv,42,dataset,aime,0.8333333333333335,1.93313625,False,False,Official upstream aggregate artifact; not evaluated on the RouteCode train/test split or utility objective.,18,15,3,15,2,2,0.8333333333333334,0.6666666666666666,0.6666666666666666,18,0,0.5020363761319054,0.00016471000597482324,1.93313625,0.10739645833333333,,,,,,,,,,
RouteLLM-MF,official_external_artifact,LLMRouterBench/baselines/RouteLLM,mf_results_seed42.json,data/raw/external/LLMRouterBench/baselines/RouteLLM/results/mf_results_seed42.json,mf_selection_accuracy_by_seed.csv; mf_total_cost_by_seed.csv,42,dataset,arc-agi,0.4916666666666666,15.389615499999998,False,False,Official upstream aggregate artifact; not evaluated on the RouteCode train/test split or utility objective.,120,82,38,59,34,34,0.49166666666666664,0.8947368421052632,0.8947368421052632,120,0,0.5025694370269775,8.638195338332597e-05,15.389615499999998,0.12824679583333332,,,,,,,,,,
RouteLLM-MF,official_external_artifact,LLMRouterBench/baselines/RouteLLM,mf_results_seed42.json,data/raw/external/LLMRouterBench/baselines/RouteLLM/results/mf_results_seed42.json,mf_selection_accuracy_by_seed.csv; mf_total_cost_by_seed.csv,42,dataset,arenahard_coding,0.8815789473684209,3.52068,False,False,Official upstream aggregate artifact; not evaluated on the RouteCode train/test split or utility objective.,76,38,38,67,31,25,0.881578947368421,0.8157894736842105,0.6578947368421053,76,0,0.501160237349962,0.0003664971407720165,3.5206799999999996,0.04632473684210526,,,,,,,,,,
RouteLLM-MF,official_external_artifact,LLMRouterBench/baselines/RouteLLM,mf_results_seed42.json,data/raw/external/LLMRouterBench/baselines/RouteLLM/results/mf_results_seed42.json,mf_selection_accuracy_by_seed.csv; mf_total_cost_by_seed.csv,42,dataset,arenahard_creative_writing,0.9333333333333331,2.39008,False,False,Official upstream aggregate artifact; not evaluated on the RouteCode train/test split or utility objective.,75,44,31,70,26,9,0.9333333333333333,0.8387096774193549,0.2903225806451613,75,0,0.5007637898127238,0.00022173413924503308,2.3900799999999998,0.03186773333333333,,,,,,,,,,
RouteLLM-MF,official_external_artifact,LLMRouterBench/baselines/RouteLLM,mf_results_seed42.json,data/raw/external/LLMRouterBench/baselines/RouteLLM/results/mf_results_seed42.json,mf_selection_accuracy_by_seed.csv; mf_total_cost_by_seed.csv,42,dataset,arenahard_math,0.6533333333333333,2.950142500000001,False,False,Official upstream aggregate artifact; not evaluated on the RouteCode train/test split or utility objective.,75,37,38,49,21,15,0.6533333333333333,0.5526315789473685,0.39473684210526316,75,0,0.5012199560801188,0.0003846117852470928,2.9501425000000006,0.03933523333333334,,,,,,,,,,
RouteLLM-MF,official_external_artifact,LLMRouterBench/baselines/RouteLLM,mf_results_seed42.json,data/raw/external/LLMRouterBench/baselines/RouteLLM/results/mf_results_seed42.json,mf_selection_accuracy_by_seed.csv; mf_total_cost_by_seed.csv,42,dataset,gpqa,0.9,2.1836825,False,False,Official upstream aggregate artifact; not evaluated on the RouteCode train/test split or utility objective.,60,40,20,54,19,19,0.9,0.95,0.95,60,0,0.5023658027251562,0.0001459687283843579,2.1836825,0.03639470833333334,,,,,,,,,,
RouteLLM-MF,official_external_artifact,LLMRouterBench/baselines/RouteLLM,mf_results_seed42.json,data/raw/external/LLMRouterBench/baselines/RouteLLM/results/mf_results_seed42.json,mf_selection_accuracy_by_seed.csv; mf_total_cost_by_seed.csv,42,dataset,hle,0.2808641975308642,40.55169499999997,False,False,Official upstream aggregate artifact; not evaluated on the RouteCode train/test split or utility objective.,648,483,165,182,143,143,0.2808641975308642,0.8666666666666667,0.8666666666666667,648,0,0.502736798591084,0.0003709387998618561,40.551694999999974,0.06257977623456785,,,,,,,,,,
RouteLLM-MF,official_external_artifact,LLMRouterBench/baselines/RouteLLM,mf_results_seed42.json,data/raw/external/LLMRouterBench/baselines/RouteLLM/results/mf_results_seed42.json,mf_selection_accuracy_by_seed.csv; mf_total_cost_by_seed.csv,42,dataset,livecodebench,0.8359621451104101,17.187501,False,False,Official upstream aggregate artifact; not evaluated on the RouteCode train/test split or utility objective.,317,239,78,265,71,71,0.8359621451104101,0.9102564102564102,0.9102564102564102,317,0,0.5028166955201784,0.000179197223255609,17.187501,0.054219246056782334,,,,,,,,,,
RouteLLM-MF,official_external_artifact,LLMRouterBench/baselines/RouteLLM,mf_results_seed42.json,data/raw/external/LLMRouterBench/baselines/RouteLLM/results/mf_results_seed42.json,mf_selection_accuracy_by_seed.csv; mf_total_cost_by_seed.csv,42,dataset,livemathbench,0.8108108108108109,1.52651375,False,False,Official upstream aggregate artifact; not evaluated on the RouteCode train/test split or utility objective.,37,34,3,30,2,2,0.8108108108108109,0.6666666666666666,0.6666666666666666,37,0,0.5020856728424897,0.00020332425042913853,1.52651375,0.041257128378378374,,,,,,,,,,
RouteLLM-MF,official_external_artifact,LLMRouterBench/baselines/RouteLLM,mf_results_seed42.json,data/raw/external/LLMRouterBench/baselines/RouteLLM/results/mf_results_seed42.json,mf_selection_accuracy_by_seed.csv; mf_total_cost_by_seed.csv,42,dataset,mmlupro,0.86,10.70279250000002,False,False,Official upstream aggregate artifact; not evaluated on the RouteCode train/test split or utility objective.,900,819,81,774,60,60,0.86,0.7407407407407407,0.7407407407407407,900,0,0.5023696544435289,0.0002239563338452149,10.70279250000002,0.01189199166666669,,,,,,,,,,
RouteLLM-MF,official_external_artifact,LLMRouterBench/baselines/RouteLLM,mf_results_seed42.json,data/raw/external/LLMRouterBench/baselines/RouteLLM/results/mf_results_seed42.json,mf_selection_accuracy_by_seed.csv; mf_total_cost_by_seed.csv,42,dataset,simpleqa,0.5277349768875191,2.120239150000001,False,False,Official upstream aggregate artifact; not evaluated on the RouteCode train/test split or utility objective.,1298,813,485,685,299,299,0.5277349768875192,0.6164948453608248,0.6164948453608248,164,1134,0.49965589760999285,0.00031777974573783685,2.120239150000001,0.0016334662172573199,,,,,,,,,,
RouteLLM-MF,official_external_artifact,LLMRouterBench/baselines/RouteLLM,mf_results_seed42.json,data/raw/external/LLMRouterBench/baselines/RouteLLM/results/mf_results_seed42.json,mf_selection_accuracy_by_seed.csv; mf_total_cost_by_seed.csv,42,dataset,swe-bench,0.10666666666666667,7.4468925000000015,False,False,Official upstream aggregate artifact; not evaluated on the RouteCode train/test split or utility objective.,150,116,34,16,13,13,0.10666666666666667,0.38235294117647056,0.38235294117647056,150,0,0.501698811451594,8.472212217624981e-05,7.4468925000000015,0.04964595000000001,,,,,,,,,,
RouteLLM-MF,official_external_artifact,LLMRouterBench/baselines/RouteLLM,mf_results_seed42.json,data/raw/external/LLMRouterBench/baselines/RouteLLM/results/mf_results_seed42.json,mf_selection_accuracy_by_seed.csv; mf_total_cost_by_seed.csv,42,dataset,tau2,0.7142857142857143,17.057609500000005,False,False,Official upstream aggregate artifact; not evaluated on the RouteCode train/test split or utility objective.,84,40,44,60,36,36,0.7142857142857143,0.8181818181818182,0.8181818181818182,84,0,0.5013628233046759,0.00016463509905052307,17.057609500000005,0.20306677976190482,,,,,,,,,,
